arxiv_id,passA_decision,passA_reason,passA_justification,passB_decision,passB_reason,passB_justification,agreement,final_decision,final_reason,adjudicated,adjudication_rationale
2508.06960,include,IC2,Benchmark evaluating agent systems on autonomous demand-driven dataset discovery and curation for research.,include,IC2,Benchmark evaluating research agents on autonomous dataset discovery and curation.,agree,include,IC2,0,
2508.07955,include,IC2,Evaluation framework (GREP) specifically for automatically generated scientific writing (related work sections).,include,IC2,GREP evaluation framework for automatically generated related work sections.,agree,include,IC2,0,
2508.08331,borderline,NA,Multi-agent NL query interface over a curated miRNA database; agentic loop and research-stage autonomy unclear.,include,IC1,"Multi-agent LLM system for microRNA research querying, analysis, and hypothesis generation.",needs_adjudication,,,0,
2508.09622,exclude,EC3,"Shared task on detecting AI-generated scientific abstracts, no autonomous research system as subject.",include,IC3,"Shared task and dataset for detecting AI-generated scientific abstracts, an academic integrity study.",needs_adjudication,,,0,
2508.10152,borderline,NA,"Improves and benchmarks deep research agents, but on web-browsing fact-finding rather than scientific research stages.",include,IC2,Improves and benchmarks open deep research agents with a new BC-Small evaluation.,needs_adjudication,,,0,
2508.10925,exclude,EC1,"General open-weight LLM model card, not a research-performing system.",exclude,EC1,"Open-weight general LLM model card, not about AI-conducted research.",agree,exclude,EC1,0,
2508.11860,include,IC1,LARC is an agentic framework with agent-as-judge feedback autonomously performing constrained retrosynthesis planning.,include,IC1,LARC is an agentic framework performing constrained retrosynthesis planning as a co-scientist.,agree,include,IC1,0,
2508.11987,exclude,EC1,"Benchmark for general LLM agents on future prediction, not autonomous scientific research systems.",exclude,EC1,"Benchmark for general future-prediction agents, not AI-conducted science.",agree,exclude,EC1,0,
2508.12800,exclude,EC1,"RL training method for information-seeking deep research QA agents, not scientific research lifecycle systems.",exclude,EC1,"RL method for general agentic search/QA, not scientific research conduct.",agree,exclude,EC1,0,
2508.13167,exclude,EC1,"General agent foundation models for web/code tasks, not scientific research execution.",exclude,EC1,"General agent foundation model for web/code tasks, not machines doing science.",agree,exclude,EC1,0,
2508.13197,exclude,EC2,"Perspective on generative models for MOF design as discovery instruments, not an agentic research system as subject.",include,IC3,Perspective on generative AI and LLM agents driving autonomous closed-loop MOF discovery.,needs_adjudication,,,0,
2508.13421,include,IC1,Agentic AI Scientist autonomously performing hypothesis generation through data collection to manuscript preparation.,include,IC1,"Autonomous AI scientist designing, running, analyzing studies and writing manuscripts.",agree,include,IC1,0,
2508.13953,exclude,EC1,"Customer review rating prediction for hospitality, unrelated to autonomous research.",exclude,EC2,"Customer review rating prediction model, unrelated to AI doing science.",agree,exclude,EC1,0,
2508.14111,include,IC3,Survey specifically on autonomous scientific discovery and agentic science.,include,IC3,Survey of autonomous scientific discovery / agentic science.,agree,include,IC3,0,
2508.14146,include,IC2,Benchmark specifically for LLM-based automated peer review systems.,include,IC2,Benchmark for LLM-based automated peer review.,agree,include,IC2,0,
2508.14880,exclude,EC1,"Medical information-seeking deep research QA agent, not performing scientific research lifecycle stages.",exclude,EC1,"Medical deep-research information-seeking agent, an application not a science-conducting loop.",agree,exclude,EC1,0,
2508.15126,include,IC3,Publication ecosystem with multi-agent review and refinement for AI-scientist-generated research.,include,IC1,"Multi-agent publication ecosystem where AI scientists submit, review, and revise research.",agree,include,IC3,0,
2508.15804,include,IC2,ReportBench evaluates deep research agents on academic survey/literature synthesis quality and citation faithfulness.,include,IC2,ReportBench evaluates deep research agents on academic survey generation quality.,agree,include,IC2,0,
2508.16153,exclude,EC1,"Generic memory-based agent learning paradigm evaluated on QA/GAIA tasks, not a research system.",exclude,EC1,General LLM agent memory/learning method evaluated on GAIA-style tasks.,agree,exclude,EC1,0,
2508.16571,exclude,EC1,"Business due-diligence competitor-mapping agent, not scientific research.",exclude,EC1,Business due-diligence competitor discovery agent.,agree,exclude,EC1,0,
2508.18003,exclude,EC1,"Survey of software code review automation, not scientific peer review or research systems.",exclude,EC1,Survey of code review automation in software engineering.,agree,exclude,EC1,0,
2508.18091,exclude,EC1,"Capability study of LLMs formulating optimization problems, not an autonomous research system.",exclude,EC1,"Study of LLMs formulating optimization models, not autonomous research.",agree,exclude,EC1,0,
2508.19113,exclude,EC1,"Search/RAG QA agent method for multi-hop retrieval benchmarks, not scientific research.",exclude,EC1,Search-agent reasoning method for multi-hop QA.,agree,exclude,EC1,0,
2508.19200,borderline,NA,"Automated research ideation via LLM combinatorial prompting, but unclear if it constitutes an agentic loop beyond single-shot prompting.",include,IC1,LLM-driven automated research ideation machine.,needs_adjudication,,,0,
2508.19383,include,IC1,"Multi-agent system autonomously iterating problem formulation, modeling, and refinement for plant-science discovery.",include,IC1,Multi-agent system autonomously formulating problems and running data-driven discovery in plant science.,agree,include,IC1,0,
2508.19463,exclude,EC1,"LLM persona simulation tool for UX design workflows, not autonomous research.",exclude,EC1,LLM personas assisting human UX designers.,agree,exclude,EC1,0,
2508.20148,exclude,EC1,"Consumer personal health assistant multi-agent system, not scientific research.",exclude,EC1,Personal health assistant multi-agent application.,agree,exclude,EC1,0,
2508.20254,include,IC1,Autonomous experimentation framework with an iterative novelty-driven exploration loop executing real experiments.,include,IC1,Autonomous experimentation framework steering discovery of novel phenomena on real instruments.,agree,include,IC1,0,
2508.20282,exclude,EC1,"Network privacy attack on generic web research agents, not autonomous scientific research systems.",exclude,EC1,"Privacy attack on web/research agents, a security study of agent applications.",agree,exclude,EC1,0,
2508.20637,exclude,EC1,"Graph-algorithm tool-calling agent for data QA, not a research system.",exclude,EC1,Graph data science tool agent for question answering over graphs.,agree,exclude,EC1,0,
2509.00244,borderline,NA,Generalist deep research agent framework with user-defined strategies; unclear whether scope covers general web report agents versus scientific research.,exclude,EC1,"General customizable deep research tool, not scientific research conduct.",needs_adjudication,,,0,
2509.00375,exclude,EC1,"Synthetic QA dataset for training information-seeking deep research models, not scientific research lifecycle systems.",exclude,EC1,Synthetic data framework for deep-research QA training.,agree,exclude,EC1,0,
2509.01016,exclude,EC1,"Analysis of LLM hypothesis search for abstract rule-induction puzzles, not scientific research.",exclude,EC1,"Error analysis of LLM hypothesis search on rule-induction reasoning tasks, not real science.",agree,exclude,EC1,0,
2509.01396,include,IC2,Benchmark specifically evaluating deep research agents on multi-stage scientific research tasks.,include,IC2,Benchmark evaluating deep research agents' scientific research abilities.,agree,include,IC2,0,
2509.02276,exclude,EC2,"KG link-prediction explanation method used as a predictive instrument, no agentic research loop as subject.",exclude,EC2,Knowledge-graph link-prediction/explanation model used as a scientific prediction tool.,agree,exclude,EC2,0,
2509.02751,exclude,EC1,"Deep Research agents applied to data analytics query execution, not performing scientific research.",exclude,EC1,"Data-analytics query runtime combining semantic operators with agents, not machine-conducted science.",agree,exclude,EC1,0,
2509.03036,exclude,EC2,"LLM used inside a symbolic regression loss function as an instrument, not an autonomous research agent.",exclude,EC2,"LLM-augmented symbolic regression is a discovery tool model, not an autonomous research agent.",agree,exclude,EC2,0,
2509.04499,include,IC2,Audit/evaluation framework specifically for deep research AI systems' citation and evidence reliability.,include,IC2,Audit/evaluation framework measuring citation and evidence reliability of deep research agents.,agree,include,IC2,0,
2509.05351,include,IC1,Self-driving laboratory autonomously executing closed-loop experiment design and execution.,include,IC1,Self-driving lab running closed-loop robotic experimentation with Bayesian decision-making.,agree,include,IC1,0,
2509.06283,borderline,NA,Deep research agent training but evaluated mainly on QA benchmarks; unclear if research-lifecycle scope.,include,IC1,Autonomous single-agent deep research model that searches and reasons over sources with tools.,needs_adjudication,,,0,
2509.06580,include,IC3,"Position paper on AI for scientific discovery, addressing AI-scientist narratives, incentives, and governance.",include,IC3,Position paper on social/institutional conditions for AI-driven scientific discovery.,agree,include,IC3,0,
2509.06733,include,IC3,Survey of RL foundations for deep research systems performing agentic knowledge synthesis.,include,IC3,"Survey of RL foundations, architectures, and benchmarks for deep research agent systems.",agree,include,IC3,0,
2509.06917,include,IC1,Framework automatically converting papers into agentic AI co-scientists that execute scientific analyses.,include,IC1,Automated framework turning papers into research agents that run analyses and yield new findings.,agree,include,IC1,0,
2509.08380,exclude,EC1,"Agentic system for AML compliance report generation, not scientific research.",exclude,EC1,"Agentic system for AML compliance report drafting, an ordinary domain application.",agree,exclude,EC1,0,
2509.08713,include,IC3,Studies integrity failure modes of autonomous AI scientist systems and recommends transparency measures.,include,IC3,Integrity study identifying and testing failure modes of autonomous AI scientist systems.,agree,include,IC3,0,
2509.10248,include,IC3,Integrity study of LLM-generated peer review under prompt-injection manipulation.,include,IC3,Integrity study of prompt-injection manipulation and bias in LLM-generated peer reviews.,agree,include,IC3,0,
2509.11295,exclude,EC3,"Guidance for human researchers' prompt use of LLM tools, no autonomous research system as subject.",exclude,EC3,Prompt-engineering guidance for human life-science researchers using LLM assistance.,agree,exclude,EC3,0,
2509.11943,exclude,EC1,"Neuro-symbolic agent for equipment fault diagnostics, not performing the scientific research lifecycle.",exclude,EC1,"Neuro-symbolic agent for equipment root-cause diagnostics, an operations application.",agree,exclude,EC1,0,
2509.12282,include,IC1,Multi-agent framework performing literature synthesis and scientific paper writing with human oversight.,include,IC1,Multi-agent framework performing literature research and paper writing with human oversight.,agree,include,IC1,0,
2509.12503,exclude,EC3,Methodological essay on human researchers' use of computational/AI tools in qualitative research.,exclude,EC3,Methodological essay on human qualitative researchers using computational and LLM tools.,agree,exclude,EC3,0,
2509.13309,include,IC1,Agentic deep-research framework autonomously discovering and synthesizing knowledge into evolving reports.,include,IC1,Iterative deep research agent framework autonomously discovering and synthesizing knowledge.,agree,include,IC1,0,
2509.13310,borderline,NA,Deep research agent pre-training but targets generic browsing/QA benchmarks rather than research lifecycle stages.,include,IC1,Training pipeline producing an autonomous deep research agent model for search-and-synthesis.,needs_adjudication,,,0,
2509.13312,include,IC1,Dual-agent deep research framework autonomously synthesizing web-scale evidence into cited research reports.,include,IC1,"Dual-agent deep research framework that plans, gathers evidence, and writes cited reports.",agree,include,IC1,0,
2509.14778,include,IC1,"Fully autonomous research agent automating literature review, analysis, and manuscript writing for health informatics.",include,IC1,"Fully autonomous research agent doing literature review, analysis, coding, and manuscript writing.",agree,include,IC1,0,
2509.15336,exclude,EC1,"LLM hallucination study on business process modeling, not autonomous scientific research.",exclude,EC1,"Empirical study of LLM hallucination in business process modeling, not AI-conducted research.",agree,exclude,EC1,0,
2509.20375,exclude,EC3,Detection of AI-generated text; no autonomous research system as subject and not an IC3 integrity framework.,include,IC3,Research-integrity study on detecting AI-generated scientific abstracts.,needs_adjudication,,,0,
2509.20553,include,IC1,Multi-agent system whose LLM expert agents deliberate to perform research ideation with user steering.,include,IC1,Multi-agent research ideation system where expert agents deliberate to develop research proposals.,agree,include,IC1,0,
2509.21043,borderline,NA,"Evaluates creativity relevant to scientific idea generation, but subject is generalization theory of LLMs, not an autonomous research system.",include,IC2,"Theoretical/evaluation framework for LLM scientific idea generation (novelty-utility, ideation-execution gap).",needs_adjudication,,,0,
2509.21330,exclude,EC2,ML property-prediction pipeline serving SDLs as an instrument; the agentic lab loop is not the paper's subject.,exclude,EC2,"Interpretable ML property-prediction pipeline feeding a self-driving lab, a tool model.",agree,exclude,EC2,0,
2509.21553,include,IC1,Agentic AI system autonomously performing end-to-end climate data science analysis workflows.,include,IC1,Agentic AI system that autonomously performs end-to-end climate data science analyses from natural language.,agree,include,IC1,0,
2509.21825,include,IC1,Agent autonomously performing data analysis and generating open-ended research reports with multi-step agentic workflow.,exclude,EC1,"General data-analytics/QA agent for heterogeneous data tasks, not an autonomous research loop.",needs_adjudication,,,0,
2509.22315,exclude,EC1,"Generic multi-agent reasoning/QA framework, not aimed at performing research.",exclude,EC1,"Generic multi-agent reasoning framework for QA benchmarks, not machine-conducted science.",agree,exclude,EC1,0,
2509.22502,exclude,EC1,Generic self-evolving multi-agent framework; research paper writing is only a peripheral case study.,exclude,EC1,General-purpose self-evolving multi-agent framework; paper writing is only a case study.,agree,exclude,EC1,0,
2509.22631,exclude,EC1,"Agent for dataset curation/labeling in computer vision engineering, not performing scientific research.",exclude,EC1,"Agent for computer-vision dataset curation and annotation, an ordinary ML engineering application.",agree,exclude,EC1,0,
2509.23363,exclude,EC1,Higher-education curriculum taxonomy for AI; no autonomous research system as subject.,exclude,EC5,"Taxonomy for AI in higher-education curriculum reform, unrelated to AI-conducted research.",agree,exclude,EC1,0,
2509.23426,include,IC1,"Infrastructure ecosystem for building AI scientists with agentic tool-use workflows, demonstrated on a discovery case study.",include,IC1,"Ecosystem for building AI scientists with tools for analysis, retrieval, and experimental design.",agree,include,IC1,0,
2509.24323,exclude,EC1,Generic self-generating multi-agent system framework; deep research is only one evaluation benchmark.,exclude,EC1,Self-generating multi-agent system paradigm for general tasks like code generation.,agree,exclude,EC1,0,
2509.24978,include,IC1,Agent autonomously explores physical systems via experiments and analysis to discover governing laws.,include,IC1,"Agent autonomously explores unknown physical systems, running experiments and inferring governing laws.",agree,include,IC1,0,
2509.25084,borderline,NA,"Trains generalist data-analytic agents framed as enablers of scientific discovery, but tasks are generic data analysis rather than the research lifecycle.",exclude,EC1,Training recipe for generalist data-analytic agents evaluated on data analysis benchmarks.,needs_adjudication,,,0,
2509.25106,borderline,NA,"Benchmark for deep research agents, but focused on personalization of general-domain report tasks rather than scientific research.",borderline,NA,Benchmark for personalized deep research agents; report generation but not specifically scientific research.,needs_adjudication,,,0,
2509.25189,exclude,EC1,"General web information-seeking agent evaluated on browsing QA benchmarks, not scientific research.",exclude,EC1,"Web information-seeking/browsing agent trained for search QA, not scientific research conduct.",agree,exclude,EC1,0,
2509.25281,include,IC2,Benchmark for evaluating LLM scientific hypothesis generation in materials synthesis.,include,IC2,Benchmark evaluating LLM-generated scientific hypotheses in materials synthesis.,agree,include,IC2,0,
2509.25651,include,IC1,Self-correcting multi-agent system autonomously designing and executing chemical experiments in a self-driving lab.,include,IC1,Self-correcting multi-agent system that plans and executes autonomous chemical experiments.,agree,include,IC1,0,
2509.26603,include,IC1,Fully autonomous goal-oriented AI scientist system with hypothesize-verify-analyze loop.,include,IC1,"Fully autonomous AI scientist hypothesizing, verifying, and analyzing findings over long horizons.",agree,include,IC1,0,
2510.00061,exclude,EC2,"Survey of AI as diagnostic instrument in medical imaging, no agentic research loop.",exclude,EC2,Survey of AI diagnostic models for osteoporosis imaging; AI as a domain tool.,agree,exclude,EC2,0,
2510.00172,exclude,EC1,"Benchmark for enterprise business deep research tasks, not scientific research.",exclude,EC1,"Enterprise deep-research benchmark over business knowledge bases, not scientific research.",agree,exclude,EC1,0,
2510.00620,include,IC1,Literature-grounded agentic framework for research ideation generating testable hypotheses with outcome-based learning.,include,IC1,Literature-grounded automated ideation system generating testable hypotheses and learning from experiment outcomes.,agree,include,IC1,0,
2510.00890,exclude,EC3,Detection of AI-generated scientific text with no autonomous research system as subject.,include,IC3,Research-integrity study detecting AI-generated spans in scholarly scientific text.,needs_adjudication,,,0,
2510.01283,include,IC2,Evaluation methodology for deep research tools on academic survey writing.,include,IC2,Evaluation sheet/method for deep research tools applied to automated academic survey writing.,agree,include,IC2,0,
2510.01293,include,IC1,Multi-agent ecosystem for self-directed research evolution and autonomous scientific discovery in chemical engineering.,include,IC1,Multi-agent system of expert agents pursuing self-directed research and emergent discovery in chemical engineering.,agree,include,IC1,0,
2510.01427,exclude,EC1,"Efficient knowledge extraction pipeline infrastructure, not a system performing scientific research.",exclude,EC1,"LLM/small-model pipeline for scalable information extraction, an ordinary NLP application.",agree,exclude,EC1,0,
2510.02025,exclude,EC1,Measures LLM narrative preferences in creative writing; no autonomous research system involved.,exclude,EC5,"Measures LLM narrative/creative-writing preferences, unrelated to AI-conducted research.",agree,exclude,EC1,0,
2510.02190,include,IC2,Benchmark and evaluation methodology specifically for deep research agents producing long-form research reports.,include,IC2,Benchmark and evaluation framework for deep research agents and their long-form reports.,agree,include,IC2,0,
2510.03194,exclude,EC1,"Multi-agent automation of data visualization from natural language queries, a generic assistant task rather than an AI research system.",exclude,EC1,"Multi-agent system for data visualization code generation, an ordinary agent application.",agree,exclude,EC1,0,
2510.03687,exclude,EC1,"Self-reflection fine-tuning for medical QA problem-solving, not an autonomous research system.",exclude,EC5,"Self-reflection method for medical question answering, not machines conducting research.",agree,exclude,EC1,0,
2510.04023,borderline,NA,Survey of agents autonomously performing data-science lifecycle stages including analysis; unclear if data science workflow counts as scientific research scope.,include,IC3,"Survey/taxonomy of LLM agents automating the analysis and modeling lifecycle, with evaluation practices.",needs_adjudication,,,0,
2510.04935,borderline,NA,"Multi-agent RL deep research system, but evaluated on general knowledge-intensive QA rather than clearly scientific research tasks.",include,IC1,"Multi-agent deep research system trained with RL to search, reason, and synthesize.",needs_adjudication,,,0,
2510.04997,include,IC1,LLM-based automation of empirical software fault research phases (data preparation and analysis) with a roadmap toward end-to-end automated empirical studies.,include,IC1,LLM-based automation of the empirical research pipeline for software fault studies.,agree,include,IC1,0,
2510.05016,borderline,NA,"Olympiad exam benchmark of LLM scientific reasoning motivated by autonomous astronomy research agents, but evaluates plain QA rather than agentic research systems.",borderline,NA,Olympiad exam benchmark of astronomy problem-solving framed toward autonomous research agents; unclear scope.,needs_adjudication,,,0,
2510.05138,include,IC1,Multi-agent workflow autonomously performing literature review synthesis and scientific writing.,include,IC1,"Multi-agent workflow that autonomously writes literature review articles, a core research-production task.",agree,include,IC1,0,
2510.05145,borderline,NA,Deep research efficiency framework; unclear whether it targets scientific research synthesis or generic query answering for interactive apps.,include,IC1,"Deep research agent framework that plans, decomposes, and executes research tasks autonomously.",needs_adjudication,,,0,
2510.05228,borderline,NA,"Research-level physics benchmark aimed at guiding AI research assistants, but evaluates static problem-solving rather than agentic research systems.",include,IC2,Expert-built research-level physics benchmark aimed at assessing AI research assistants.,needs_adjudication,,,0,
2510.06056,include,IC1,Agent integrating deep research with algorithm evolution in a feedback-driven loop for scientific algorithm discovery.,include,IC1,"Agent that iteratively hypothesizes, implements, and tests scientific algorithms.",agree,include,IC1,0,
2510.06135,exclude,EC1,"Test-time scaling of deep search agents on web-browsing QA benchmarks (BrowseComp, GAIA), not research-performing systems.",borderline,NA,Test-time scaling for deep search agents evaluated mainly on web-QA benchmarks; scope ambiguous.,needs_adjudication,,,0,
2510.06186,include,IC2,"Benchmark for LLM agents iteratively implementing research code with simulated researcher feedback, targeting the experiment-implementation stage.",include,IC2,Benchmark for LLM agents implementing research code with interactive feedback.,agree,include,IC2,0,
2510.06579,include,IC1,Open framework for building automatic research agent workflows spanning the research lifecycle.,include,IC1,Framework for building automatic research agent workflows end to end.,agree,include,IC1,0,
2510.07733,include,IC1,Multi-agent LLM framework autonomously performing literature synthesis via automated survey generation with citation-graph reasoning and validation.,include,IC1,Multi-agent system that autonomously surveys literature and writes survey papers.,agree,include,IC1,0,
2510.08521,include,IC1,Multi-agent deep research framework explicitly targeting multi-disciplinary scientific research and discovery with dynamic knowledge-flow planning.,include,IC1,Multi-agent deep research framework with dynamic knowledge flow for scientific tasks.,agree,include,IC1,0,
2510.08559,exclude,EC1,"Multiple-choice video reasoning benchmark for multimodal models, not a benchmark for autonomous research systems.",exclude,EC5,"Scientific video reasoning QA benchmark for multimodal models, not AI-conducted research.",agree,exclude,EC1,0,
2510.08578,exclude,EC1,"Multi-agent healthcare management framework for Alzheimer care, not an autonomous research system.",exclude,EC1,Clinical care multi-agent framework for Alzheimer's management.,agree,exclude,EC1,0,
2510.08619,include,IC1,Networks of autonomous LLM research agents generating and peer-reviewing scientific hypotheses at scale.,include,IC1,Networks of autonomous LLM scientific agents generating and peer-reviewing findings.,agree,include,IC1,0,
2510.08664,exclude,EC1,"LLM-based RTL/hardware code generation with verification middleware, a coding-assistant task not aimed at performing research.",exclude,EC1,"LLM-based RTL hardware code generation, an engineering application.",agree,exclude,EC1,0,
2510.08959,exclude,EC1,"Retrieval-and-fusion technique for reconstructing answers from tool logs, a QA component rather than an autonomous research system as subject.",include,IC1,Retrieval/fusion framework component of deep-research systems for multi-step scientific reasoning.,needs_adjudication,,,0,
2510.10117,exclude,EC1,"Game-based evaluation of abductive reasoning in vision-language models, unrelated to autonomous research systems.",exclude,EC1,Multi-agent game-based evaluation of vision-language reasoning.,agree,exclude,EC1,0,
2510.10472,include,IC2,Benchmark and metrics specifically for machine learning research agents that propose ideas and conduct experiments.,include,IC2,Benchmark and metrics for ML research agents' scientific research process.,agree,include,IC2,0,
2510.10713,exclude,EC2,"Review of deep learning methods as instruments in astrophysics; agentic research automation is only a brief emerging mention, not the subject.",exclude,EC2,"Review of deep learning as a modeling tool in astrophysics, not AI conducting research.",agree,exclude,EC2,0,
2510.10931,borderline,NA,RL training for evidence-grounded deep research agents; relevant to integrity of agentic research but system targets general retrieval QA.,include,IC1,RL framework improving evidence grounding in deep research agents.,needs_adjudication,,,0,
2510.10994,include,IC2,Introduces an evaluation framework and stage-wise safety benchmark (DRSafeBench) specifically for deep research agents.,borderline,NA,Guardrail framework and safety benchmark for deep research report generation; adjacent to but not clearly about AI-conducted science.,needs_adjudication,,,0,
2510.11143,include,IC1,"ARIA is an agentic spec-driven system autonomously performing data analysis, code generation, and documentation stages of research.",include,IC1,"ARIA is an agentic framework that autonomously performs data analysis, code generation, and documentation for scientific research.",agree,include,IC1,0,
2510.11661,include,IC1,"Autonomous AI-scientist agent that analyzes data, implements and evaluates equations, and optimizes hypotheses in a long-horizon loop.",include,IC1,"Autonomous agent that analyzes data, implements, evaluates, and refines scientific equations.",agree,include,IC1,0,
2510.11851,include,IC3,Safety/integrity analysis specifically of Deep Research agents that autonomously conduct multi-step research and report synthesis.,borderline,NA,Safety/jailbreak study of deep-research agents; research-agent integrity but web-report rather than scientific-discovery focused.,needs_adjudication,,,0,
2510.11967,exclude,EC1,"Generic context-management/RL technique for long-horizon LLM agents (Deep Research and SWE), not a research system as subject.",exclude,EC1,"General LLM agent context-management technique evaluated on SWE and web tasks, not machines doing science.",agree,exclude,EC1,0,
2510.12194,include,IC1,Open-source deep-research agent framework with planner-executor loop and human-intervenable control.,include,IC1,Open-source human-intervenable deep-research agent framework with planner-executor autonomy for conducting research.,agree,include,IC1,0,
2510.12367,include,IC3,Studies fairness/integrity risks of LLM research and review agents in the peer-review cycle via agent simulation.,include,IC3,"Simulation study of LLM research and reviewer agents exposing biases in AI peer review, an integrity study of AI-conducted research.",agree,include,IC3,0,
2510.12979,include,IC1,RL framework to optimize planning of deep research agents that autonomously plan and synthesize research.,exclude,EC1,"RL training method for web deep-research QA agents, an agent-capability paper rather than machine science.",needs_adjudication,,,0,
2510.13081,include,IC3,Position paper on cooperative agents for autonomous scientific discovery (closing the discovery loop).,include,IC3,Position piece arguing for cooperative agents to close the autonomous scientific discovery loop.,agree,include,IC3,0,
2510.13913,borderline,NA,Data synthesis pipeline for web deep-research QA agents; unclear whether QA-oriented web agents count as research systems.,exclude,EC1,"Data synthesis pipeline for training web QA agents, an ordinary agent application.",needs_adjudication,,,0,
2510.13936,include,IC2,Benchmark and rubric-based evaluation framework specifically for deep research agents in financial analysis.,borderline,NA,"Rigorous benchmark for deep research agents, but the domain is corporate financial analysis rather than scientific research.",needs_adjudication,,,0,
2510.14240,include,IC2,"Benchmark and evaluation suite (LiveResearchBench, DeepEval) specifically for deep research report-generating systems.",borderline,NA,"Live benchmark and evaluation suite for deep research report generation spanning daily life, enterprise, and academia.",needs_adjudication,,,0,
2510.14438,borderline,NA,"Trains deep-research agent foundation models and adds a benchmark, but tasks are web QA aggregation rather than clearly research lifecycle.",exclude,EC1,"Data synthesis and foundation model training for web compositional-reasoning agents, not machine science.",needs_adjudication,,,0,
2510.14861,include,IC1,"AI co-scientist system combining self-evolving agents, perception, and robots to assist and execute physical experiments.",include,IC1,LabOS is an AI co-scientist coupling reasoning agents with physical experimentation and robots.,agree,include,IC1,0,
2510.15280,include,IC3,Position paper framing foundation models' progression toward autonomous scientific discovery.,include,IC3,Position/survey paper on foundation models driving a transition toward autonomous scientific discovery.,agree,include,IC3,0,
2510.15624,include,IC1,Multiagent framework conducting end-to-end autonomous research from ideation to publication-ready manuscripts.,include,IC1,freephdlabor is a multiagent framework autonomously conducting end-to-end research from ideation to manuscripts.,agree,include,IC1,0,
2510.15862,include,IC1,Systematic study of design choices for RL-trained deep research agents that gather and synthesize information.,exclude,EC1,"RL design study for web-search deep research agents answering complex queries, an agent-capability paper.",needs_adjudication,,,0,
2510.16080,include,IC1,Multi-agent system autonomously performing biomarker discovery with literature-grounded validation and novelty assessment.,include,IC1,TriAgent is a multi-agent system that autonomously discovers biomarkers and grounds/validates them against literature.,agree,include,IC1,0,
2510.16082,include,IC1,"Multi-agent framework with retrieval, reasoning, and multi-critic verification autonomously performing transcriptomic analysis/interpretation.",include,IC1,BIOGEN is a multi-agent reasoning system that interprets transcriptomic data and generates evidence-grounded hypotheses.,agree,include,IC1,0,
2510.16234,include,IC2,Evaluation framework and expert-annotated dataset for assessing AI-generated research ideas.,include,IC2,ScholarEval plus ScholarIdeas provide an evaluation framework and dataset for assessing AI-generated research ideas.,agree,include,IC2,0,
2510.16255,exclude,EC1,Auditing agents for detecting adversarial fine-tuning of LLM APIs; not about performing scientific research.,exclude,EC1,"Auditing agent for detecting adversarial fine-tuning, an AI-safety ops application unrelated to machine science.",agree,exclude,EC1,0,
2510.16276,exclude,EC1,"Latency/efficiency study and caching for web-interactive agentic systems generally, not a research system as subject.",exclude,EC1,Systems efficiency and caching study of web-interactive agentic pipelines.,agree,exclude,EC1,0,
2510.16559,exclude,EC1,"Benchmark for language-driven engineering construction in physics simulation, not the scientific research lifecycle.",exclude,EC1,"Benchmark of LLMs for engineering construction tasks, not for AI-conducted research.",agree,exclude,EC1,0,
2510.16720,exclude,EC1,"General survey of model-native agentic AI (planning, tools, memory); deep research is only one application among many.",exclude,EC1,"Survey of general model-native agentic AI paradigms, not specific to machines doing science.",agree,exclude,EC1,0,
2510.16844,borderline,NA,"Agentic multi-agent deep-research report system, but targets financial analyst reports rather than scientific research.",exclude,EC1,"Multi-agent system for generating financial reports, a business application rather than scientific research.",needs_adjudication,,,0,
2510.16872,include,IC1,Agentic LLM autonomously performing end-to-end data science from raw data to analyst-grade research reports.,include,IC1,DeepAnalyze is an agentic LLM autonomously running the pipeline from raw data to analyst-grade research reports.,agree,include,IC1,0,
2510.17797,borderline,NA,"Agentic deep-research system with literature-like synthesis, but aimed at enterprise analytics rather than scientific research.",exclude,EC1,"Enterprise analytics deep-research agent, an ordinary agent application.",needs_adjudication,,,0,
2510.17826,include,IC1,"Multimodal co-scientist agent performing literature synthesis, analysis, and code execution for protein research.",include,IC1,"Multimodal co-scientist that retrieves literature, runs code, and generates hypotheses for protein analysis.",agree,include,IC1,0,
2510.17853,include,IC1,Retrieval-aware agent framework autonomously validating citation attribution in scientific writing.,include,IC3,"Retrieval-aware framework for auditing faithfulness of LLM-generated scientific citations, an integrity/evaluation contribution.",agree,include,IC1,0,
2510.18003,include,IC3,Integrity study of paper-generating research agents deceiving LLM peer-review systems.,include,IC3,Integrity study on fabrication-oriented paper-generation agents deceiving LLM reviewers.,agree,include,IC3,0,
2510.18104,include,IC3,Position paper proposing autonomous recommender-systems research labs with benchmarks and governance agenda.,include,IC3,Position paper calling for autonomous recommender-systems research labs with benchmarks and governance.,agree,include,IC3,0,
2510.18939,exclude,EC1,"Generic long-horizon web search agent framework for QA benchmarks, not performing scientific research.",exclude,EC1,"General long-horizon web search agent framework, not machine-conducted science.",agree,exclude,EC1,0,
2510.20221,exclude,EC2,"Causal discovery method using LLM and KG as instruments, no agentic research loop as subject.",exclude,EC2,"Causal discovery framework for financial analysis, a domain tool model.",agree,exclude,EC2,0,
2510.20809,include,IC1,Automated pipeline for literature synthesis and research-direction identification across scientific fields.,include,IC1,Automated pipeline that analyzes research literature to surface trends and new research directions.,agree,include,IC1,0,
